novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews,month
闪婚老公太抢手,鱼歌,http://www.17k.com/book/688863.html,完本,1475652,婚恋爱情,43104,18322082,825657
穿越女遇到重生男,雪山岚,http://www.17k.com/book/1768774.html,完本,938249,古代重生,4804,19259519,668196
庶女惊华：一品毒医,浩瀚之渊,http://www.17k.com/book/916533.html,完本,3223163,前世今生,21880,20273823,2988286
前夫，请你入局,唯一的迷蝶,http://www.17k.com/book/781346.html,完本,2100759,总裁豪门,28487,21012226,583955
从龙记,越人歌,http://www.17k.com/book/2277996.html,连载,666280,玄幻仙侠,6338,20740641,29162
总裁一吻好羞羞,我是木木,http://www.17k.com/book/302067.html,完本,1826742,总裁豪门,8675,23426631,6382503
冷总裁的退婚新娘,水流云在,http://www.17k.com/book/62856.html,完本,414981,总裁豪门,6693,23514600,115847
霸婚，蓄谋已久,鱼歌,http://www.17k.com/book/174561.html,完本,1496231,总裁豪门,53509,25633004,1953014
错跟总裁潜规则,鱼歌,http://www.17k.com/book/72531.html,完本,588382,总裁豪门,13291,25787259,185501
傻瓜王爷特工妃,薄锦雪霁,http://www.17k.com/book/178763.html,完本,186374,穿越时空,927,26450203,182780
扑倒财神的一百种方法,半世荒唐,http://www.17k.com/book/436003.html,完本,249240,玄幻仙侠,13865,27401678,1819
反扑狐狸的一百种方法,半世荒唐,http://www.17k.com/book/632468.html,完本,197058,玄幻仙侠,14015,29964961,3064
摄政王的冷妃,过路人与稻草人,http://www.17k.com/book/80946.html,完本,651685,古代重生,15068,30694835,288737
寂寞时刻莫谈情,章句小儒,http://www.17k.com/book/409462.html,完本,257845,婚恋爱情,6856,31280966,60818
贴身甜宠,澎澎丰,http://www.17k.com/book/841762.html,完本,969262,总裁豪门,2193,38593268,1186665
邻家竹马恋青梅,章句小儒,http://www.17k.com/book/376970.html,完本,318586,青青校园,9503,41871889,114059
 第一婚宠：老公大人请自重,莳莳,http://www.17k.com/book/1601829.html,完本,3924705,婚恋爱情,6574,44351184,281343
天价弃妃,夜凌郗,http://www.17k.com/book/133467.html,完本,1007115,穿越时空,23109,44743899,258718
一吻成瘾,纳兰海映,http://www.17k.com/book/177707.html,完本,1654240,总裁豪门,24316,46436225,509011
夺情总裁：豪门老公不及格,微风中摇曳,http://www.17k.com/book/114020.html,完本,2119246,职场丽人,43079,51591728,1762563
早安，老公大人,怡芊芊,h,木古Y,http://book.zongheng.com/book/701865.html,连载中,100548,神话,1,93,32
谁还不是小傲娇,李狗剩,http://book.zongheng.com/book/710048.html,连载中,30720,都市,0,38,38
血战江湖,君凌天,http://book.zongheng.com/book/690888.html,连载中,103681,武侠,5,324,125
